"GRIN2A","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-rh-bankssts",7.73124225460288,1,"bankssts",44,"#5656FF",86,86,255,0
"ctx-rh-caudalanteriorcingulate",7.93845064702669,2,"caudalanteriorcingulate",95,"#BCBCFF",188,188,255,0
"ctx-rh-caudalmiddlefrontal",8.11254201206422,3,"caudalmiddlefrontal",138,"#FFECEC",255,236,236,0
"ctx-rh-cuneus",8.50147942759504,5,"cuneus",233,"#FF2E2E",255,46,46,0
"ctx-rh-entorhinal",7.67655275549263,6,"entorhinal",31,"#3C3CFF",60,60,255,0
"ctx-rh-fusiform",7.8943317248061,7,"fusiform",84,"#A6A6FF",166,166,255,0
"ctx-rh-inferiorparietal",8.16519701353464,8,"inferiorparietal",150,"#FFD3D3",255,211,211,0
"ctx-rh-inferiortemporal",8.10894238748008,9,"inferiortemporal",137,"#FFEEEE",255,238,238,0
"ctx-rh-isthmuscingulate",7.96050945896452,10,"isthmuscingulate",100,"#C6C6FF",198,198,255,0
"ctx-rh-lateraloccipital",8.24114624769257,11,"lateraloccipital",169,"#FFAEAE",255,174,174,0
"ctx-rh-lateralorbitofrontal",8.13256043005717,12,"lateralorbitofrontal",142,"#FFE3E3",255,227,227,0
"ctx-rh-lingual",8.25958652367013,13,"lingual",174,"#FFA3A3",255,163,163,0
"ctx-rh-medialorbitofrontal",8.00016398143218,14,"medialorbitofrontal",110,"#DADAFF",218,218,255,0
"ctx-rh-middletemporal",8.11715265749444,15,"middletemporal",139,"#FFEAEA",255,234,234,0
"ctx-rh-parahippocampal",7.88122144068585,16,"parahippocampal",81,"#A0A0FF",160,160,255,0
"ctx-rh-paracentral",7.8085525687525,17,"paracentral",63,"#7C7CFF",124,124,255,0
"ctx-rh-parsopercularis",7.93661369874362,18,"parsopercularis",94,"#BABAFF",186,186,255,0
"ctx-rh-parsorbitalis",8.24001045360004,19,"parsorbitalis",169,"#FFAEAE",255,174,174,0
"ctx-rh-parstriangularis",7.98063134789288,20,"parstriangularis",105,"#D0D0FF",208,208,255,0
"ctx-rh-pericalcarine",8.59583717970997,21,"pericalcarine",256,"#FF0000",255,0,0,0
"ctx-rh-postcentral",8.03654529215871,22,"postcentral",119,"#ECECFF",236,236,255,0
"ctx-rh-posteriorcingulate",7.94430851294354,23,"posteriorcingulate",96,"#BEBEFF",190,190,255,0
"ctx-rh-precentral",8.01763664648119,24,"precentral",114,"#E2E2FF",226,226,255,0
"ctx-rh-precuneus",8.18279462524914,25,"precuneus",155,"#FFCACA",255,202,202,0
"ctx-rh-rostralanteriorcingulate",7.55548765869343,26,"rostralanteriorcingulate",1,"#0000FF",0,0,255,0
"ctx-rh-rostralmiddlefrontal",8.17772825425055,27,"rostralmiddlefrontal",154,"#FFCCCC",255,204,204,0
"ctx-rh-superiorfrontal",8.15494742775199,28,"superiorfrontal",148,"#FFD8D8",255,216,216,0
"ctx-rh-superiorparietal",8.14783839839986,29,"superiorparietal",146,"#FFDCDC",255,220,220,0
"ctx-rh-superiortemporal",7.93836202929574,30,"superiortemporal",95,"#BCBCFF",188,188,255,0
"ctx-rh-supramarginal",8.06525916529093,31,"supramarginal",126,"#FAFAFF",250,250,255,0
"ctx-rh-frontalpole",8.02610200475601,32,"frontalpole",116,"#E6E6FF",230,230,255,0
"ctx-rh-temporalpole",7.73822828831107,33,"temporalpole",46,"#5959FF",89,89,255,0
"ctx-rh-transversetemporal",8.11591167714648,34,"transversetemporal",138,"#FFECEC",255,236,236,0
"ctx-rh-insula",7.86066787532916,35,"insula",76,"#9696FF",150,150,255,0
