"ZDHHC9","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-rh-bankssts",6.92968126660539,1,"bankssts",256,"#FF0000",255,0,0,0
"ctx-rh-caudalanteriorcingulate",5.82633866506668,2,"caudalanteriorcingulate",41,"#5050FF",80,80,255,0
"ctx-rh-caudalmiddlefrontal",6.15425361550893,3,"caudalmiddlefrontal",105,"#D0D0FF",208,208,255,0
"ctx-rh-cuneus",6.15144281491529,5,"cuneus",104,"#CECEFF",206,206,255,0
"ctx-rh-entorhinal",5.73766459221975,6,"entorhinal",23,"#2C2CFF",44,44,255,0
"ctx-rh-fusiform",6.08002987093163,7,"fusiform",90,"#B2B2FF",178,178,255,0
"ctx-rh-inferiorparietal",6.21815335103296,8,"inferiorparietal",117,"#E8E8FF",232,232,255,0
"ctx-rh-inferiortemporal",5.82262821921094,9,"inferiortemporal",40,"#4E4EFF",78,78,255,0
"ctx-rh-isthmuscingulate",6.20413096843246,10,"isthmuscingulate",114,"#E2E2FF",226,226,255,0
"ctx-rh-lateraloccipital",6.26111058206398,11,"lateraloccipital",125,"#F8F8FF",248,248,255,0
"ctx-rh-lateralorbitofrontal",6.10847461113486,12,"lateralorbitofrontal",96,"#BEBEFF",190,190,255,0
"ctx-rh-lingual",6.24209912347255,13,"lingual",122,"#F2F2FF",242,242,255,0
"ctx-rh-medialorbitofrontal",5.7878460175456,14,"medialorbitofrontal",33,"#4040FF",64,64,255,0
"ctx-rh-middletemporal",5.94848721802501,15,"middletemporal",64,"#7E7EFF",126,126,255,0
"ctx-rh-parahippocampal",5.8464321395616,16,"parahippocampal",44,"#5656FF",86,86,255,0
"ctx-rh-paracentral",6.01390547022537,17,"paracentral",77,"#9898FF",152,152,255,0
"ctx-rh-parsopercularis",5.86424437944243,18,"parsopercularis",48,"#5E5EFF",94,94,255,0
"ctx-rh-parsorbitalis",5.66107490617829,19,"parsorbitalis",8,"#0E0EFF",14,14,255,0
"ctx-rh-parstriangularis",5.98058514704593,20,"parstriangularis",71,"#8C8CFF",140,140,255,0
"ctx-rh-pericalcarine",5.71887061134239,21,"pericalcarine",20,"#2626FF",38,38,255,0
"ctx-rh-postcentral",6.31484794530798,22,"postcentral",136,"#FFF0F0",255,240,240,0
"ctx-rh-posteriorcingulate",5.62409862363142,23,"posteriorcingulate",1,"#0000FF",0,0,255,0
"ctx-rh-precentral",6.22031341145844,24,"precentral",117,"#E8E8FF",232,232,255,0
"ctx-rh-precuneus",5.93683808572003,25,"precuneus",62,"#7979FF",121,121,255,0
"ctx-rh-rostralanteriorcingulate",6.16820077321718,26,"rostralanteriorcingulate",107,"#D3D3FF",211,211,255,0
"ctx-rh-rostralmiddlefrontal",5.68783384862996,27,"rostralmiddlefrontal",13,"#1818FF",24,24,255,0
"ctx-rh-superiorfrontal",5.69577730681967,28,"superiorfrontal",15,"#1C1CFF",28,28,255,0
"ctx-rh-superiorparietal",6.09773394637544,29,"superiorparietal",94,"#BABAFF",186,186,255,0
"ctx-rh-superiortemporal",6.20249968291849,30,"superiortemporal",114,"#E2E2FF",226,226,255,0
"ctx-rh-supramarginal",6.14968080612179,31,"supramarginal",104,"#CECEFF",206,206,255,0
"ctx-rh-frontalpole",6.2821240177163,32,"frontalpole",130,"#FFFCFC",255,252,252,0
"ctx-rh-temporalpole",6.03922359092402,33,"temporalpole",82,"#A2A2FF",162,162,255,0
"ctx-rh-transversetemporal",6.2373427618913,34,"transversetemporal",121,"#F0F0FF",240,240,255,0
"ctx-rh-insula",5.7255100793915,35,"insula",21,"#2828FF",40,40,255,0
